siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,nombrePeriodesEtablissement,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,libelleCommuneEtranger2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement,codePaysEtranger2Etablissement,libellePaysEtranger2Etablissement,dateDebut,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,latitude,longitude
5411434,11,541143400011,O,,,,,,True,1,,,,,,80120,FAVIERES,,,80303,,,,,,,,,,,,,,,,,,,1987-09-30,F,,,,,65.02,NAP,N,50.238663,1.67506
5411483,18,541148300018,O,,,,,2019-11-14T14:01:00,True,1,,,,,,80150,CRECY-EN-PONTHIEU,,,80222,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.41,NAP,N,50.246042,1.873489
5411582,17,541158200017,O,1954-01-01,NN,,,2012-07-28T11:19:32,True,5,,47.0,,CHS,DU BOIS,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,2010-12-25,F,,,,,68.20B,NAFRev2,N,50.108202,1.837494
5411699,19,541169900019,O,,NN,,,2019-11-14T14:01:00,True,1,,,,,,80150,CRECY-EN-PONTHIEU,,,80222,,,,,,,,,,,,,,,,,,,1999-01-10,F,,,,,57.03,NAP,N,50.246042,1.873489
5411806,10,541180600010,O,,,,,,True,1,,,,RUE,ALFRED FRANCOIS,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.11,NAP,N,50.108407,1.836114
5411954,18,541195400018,O,,,,,,True,1,,,,RUE,JULES VERNE,80550,LE CROTOY,,,80228,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,38.50,NAP,N,50.216038,1.628259
5411962,11,541196200011,O,,,,,,True,1,,,,,,80150,DOMVAST,,,80250,,,,,,,,,,,,,,,,,,,1990-12-31,F,,,,,67.05,NAP,N,50.203314,1.917962
5411996,19,541199600019,O,,NN,,,,True,1,,10.0,,AV,DE LA GARE,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,,F,,,,,67.04,NAP,N,50.102936,1.82516
5420013,12,542001300012,O,,NN,,,,True,1,,264.0,,CHS,D HOCQUET,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,,F,,,,,62.21,NAP,N,50.107469,1.825546
5420021,15,542002100015,O,1900-01-01,NN,,,2010-04-18T03:00:20,False,6,,17.0,,RUE,DES LINGERS,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,2008-09-05,F,,,,,46.69B,NAFRev2,O,50.10699,1.834597
5420021,23,542002100023,O,1995-02-14,NN,,,2011-04-23T04:00:22,False,6,,,,RUE,TUROLD,76630,ENVERMEU,,,76235,,,,,,,,,,,,,,,,,,,2009-12-31,F,,,,,46.69B,NAFRev2,O,49.89922,1.261251
5420021,31,542002100031,O,1996-03-15,NN,,,2019-11-14T14:01:00,False,5,,134.0,,RUE,HENRI BARBUSSE,80130,FRIVILLE-ESCARBOTIN,,,80368,,,,,,,,,,,,,,,,,,,2009-12-31,F,,,,,46.69B,NAFRev2,O,50.085953,1.54476
5420021,49,542002100049,O,2008-09-05,NN,,,2011-04-23T04:00:22,False,2,ZAC DES DEUX VALLEES,52.0,,RUE,VENTOSE,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,2009-12-23,F,,,,,46.69B,NAFRev2,O,50.102552,1.864846
5420021,56,542002100056,O,2009-12-23,NN,,,2021-02-23T10:27:49,True,1,,21.0,B,BD,DES PRES,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,2009-12-23,A,,,,,46.69B,NAFRev2,O,50.100179,1.832619
5420039,17,542003900017,O,,NN,,,,True,1,,3.0,,PL,DU PILORI,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,,F,,,,,59.02,NAP,N,50.107486,1.835181
5420047,10,542004700010,O,1900-01-01,NN,,,2008-10-01T16:56:43,True,5,,114.0,,CHS,MARCADE,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,2004-09-24,F,,,,,45.3F,NAFRev1,O,50.111441,1.82887
5420047,28,542004700028,O,1973-07-01,NN,,,2006-10-26T23:33:47,False,3,,2.0,,,RIVE DROITE DE LA SOMME,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,2004-09-24,F,,,,,52.4Y,NAFRev1,N,50.113572,1.808125
5420054,24,542005400024,O,,NN,,,2019-11-14T14:01:01,True,1,,54.0,,RUE,DES ECOLES,80970,SAILLY-FLIBEAUCOURT,,,80692,,,,,,,,,,,,,,,,,,,1999-08-31,F,,,,,28.6F,NAF1993,O,50.179758,1.768971
5420070,20,542007000020,O,,NN,,,,True,1,,2.0,,,VOIE NOUVELLE,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1987-02-02,F,,,,,70.2C,NAF1993,N,50.111302,1.814517
5420088,14,542008800014,O,,,,,,True,1,,3.0,,RUE,DES LINGERS,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1992-06-29,F,,,,,52.4N,NAF1993,N,50.106612,1.834076
5420104,19,542010400019,O,1954-01-01,NN,,,2015-05-14T03:02:02,True,5,,13.0,,PL,MAX LEJEUNE,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,2013-12-16,F,,,,,47.71Z,NAFRev2,O,50.105966,1.832896
5420120,15,542012000015,O,1989-01-27,02,2021.0,,2023-11-30T10:16:27,False,4,,,,RUE,DE LA FONTAINE,80120,RUE,,,80688,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,10.81Z,NAFRev2,O,50.274746,1.674007
5420120,23,542012000023,O,1900-01-01,NN,,,2019-11-14T14:00:50,False,5,,12.0,,RTE,DE MONTREUIL,62180,RANG-DU-FLIERS,,,62688,,,,,,,,,,,,,,,,,,,2014-04-30,A,,,,,52.10B,NAFRev2,N,50.418101,1.649825
5420120,31,542012000031,O,1900-01-01,03,2021.0,,2023-11-30T10:16:27,True,6,,,,RTE,NATIONALE,62140,MARCONNELLE,,,62550,,,,,,,,,,,,,,,,,,,2008-04-23,A,,,,,70.10Z,NAFRev2,O,50.374723,2.013935
5420120,49,542012000049,O,1900-01-01,NN,,,2021-01-13T08:45:19,False,6,,,,RUE,DE LA GARE,62180,CONCHIL-LE-TEMPLE,,,62233,,,,,,,,,,,,,,,,,,,2020-12-21,F,,,,,46.75Z,NAFRev2,N,50.362968,1.662478
5420146,10,542014600010,O,,,,,,True,1,,,,PL,DU GENERAL LECLERC,80120,RUE,,,80688,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,64.12,NAP,N,50.272544,1.668688
5420153,16,542015300016,O,,,,,,True,1,,,,RUE,MARECHAL FOCH,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,58.12,NAP,N,50.105376,1.833987
5420187,14,542018700014,O,,,,,,True,1,,,,CHS,D HOCQUET,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,38.40,NAP,N,50.107469,1.825546
5420195,33,542019500033,O,,NN,,,,True,1,,,,,AU CHEMIN DE LA RIVIERE,80140,RAMBURES,,,80663,,,,,,,,,,,,,,,,,,,2001-07-31,F,,,,,51.2A,NAF1993,O,49.954945,1.707059
5420245,10,542024500010,O,,NN,,,,True,1,,2.0,,BD,VAUBAN,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1986-07-03,F,,,,,81.21,NAP,N,50.108575,1.839099
5420260,19,542026000019,O,1900-01-01,,,,,True,3,,,,RUE,JOLIOT CURIE,80570,DARGNIES,,,80235,,,,,,,,,,,,,,,,,,,1991-12-25,F,,,,,20.01,NAP,N,50.044256,1.524773
5420278,11,542027800011,O,,,,,,True,1,,,,,,80270,ALLERY,,,80019,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,44.33,NAP,N,49.964032,1.89614
5440011,12,544001100012,O,1991-09-30,NN,,,2012-04-12T03:45:09,True,4,LES MARRONNIERS,,,AV,DE VERDUN,4000,DIGNE-LES-BAINS,,,4070,,,,,,,,,,,,,,,,,,,2012-02-02,F,,,,,68.20B,NAFRev2,N,44.08682,6.213886
5440078,11,544007800011,O,,,,,,True,1,,,,,,4370,COLMARS,,,4061,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,62.11,NAP,N,44.182833,6.62894
5440110,38,544011000038,O,1900-01-01,NN,,,2019-11-14T14:00:14,False,4,,,,CRS,PECHINEY,4600,CHATEAU-ARNOUX-SAINT-AUBAN,,,4049,,,,,,,,,,,,,,,,,,,1995-12-25,F,,,,,52.4T,NAF1993,O,44.071716,5.994328
5440110,53,544011000053,O,1991-11-04,,,,2006-12-15T00:14:43,False,4,,13.0,,BD,GASSENDI,4000,DIGNE-LES-BAINS,,,4070,,,,,,,,,,,,,,,,,,,1996-12-25,F,,,,,70.2C,NAF1993,N,44.091598,6.232368
5440110,61,544011000061,O,1995-10-01,NN,,,2008-01-04T17:54:11,True,3,,6.0,,RUE,FIRMIN GUICHARD,4000,DIGNE-LES-BAINS,,,4070,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,68.20B,NAFRev2,N,44.085644,6.228323
5440136,17,544013600017,O,,,,,,True,1,,,,,,4500,QUINSON,,,4158,,,,,,,,,,,,,,,,,,,,F,,,,,67.09,NAP,N,43.705158,6.037478
5440185,14,544018500014,O,1954-01-01,NN,,,2006-11-25T09:04:27,True,3,,,,,,4250,TURRIERS,,,4222,,,,,,,,,,,,,,,,,,,2006-03-01,F,,,,,52.1B,NAFRev1,N,44.39538,6.174527
5440219,11,544021900011,O,,,,,2019-08-27T14:09:28,True,1,,,,,,4210,VALENSOLE,,,4230,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N,43.8345,5.943815
5440235,17,544023500017,O,,,,,2019-11-14T14:00:14,True,1,,,,,,4170,THORAME-BASSE,,,4218,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,60.01,NAP,N,44.093652,6.505531
5440409,18,544040900018,O,,,,,,True,1,,,,RUE,CHAPUZIE,4200,SISTERON,,,4209,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,64.46,NAP,N,44.19689,5.945511
5440508,17,544050800017,O,,NN,,,2019-11-14T14:00:14,True,1,,,,RTE,NEUVE,4160,CHATEAU-ARNOUX-SAINT-AUBAN,,,4049,,,,,,,,,,,,,,,,,,,1991-12-31,F,,,,,57.08,NAP,N,44.080801,5.996443
5440557,14,544055700014,O,,,,,,True,1,,,,PL,DES RECOLLETS,4000,DIGNE-LES-BAINS,,,4070,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N,44.091832,6.239536
5440565,17,544056500017,O,1954-01-01,NN,,,2023-05-05T20:26:43,True,4,,,,PL,DU GENERAL DE GAULLE,4200,SISTERON,,,4209,,,,,,,,,,,,,,,,,,,2014-12-25,F,,,,,68.20B,NAFRev2,N,44.195623,5.943625
5440649,19,544064900019,O,,NN,,,2019-11-14T14:00:14,True,1,,,,RUE,LOGIS,4800,SAINT-MARTIN-DE-BROMES,,,4189,,,,,,,,,,,,,,,,,,,1988-09-30,F,,,,,62.11,NAP,N,43.769579,5.94609
5440672,11,544067200011,O,,,,,,True,1,,,,,,4120,CASTELLANE,,,4039,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N,43.844009,6.489286
5440698,16,544069800016,O,,,,,,True,1,,,,,,4370,COLMARS,,,4061,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.07,NAP,N,44.182833,6.62894
5440722,14,544072200014,O,,,,,,True,1,,,,,,4120,CASTELLANE,,,4039,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.10,NAP,N,43.844009,6.489286
5440755,14,544075500014,O,,,,,,True,1,,,,,,4190,LES MEES,,,4116,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,64.11,NAP,N,44.00598,5.945759
5440789,13,544078900013,O,,,,,2019-11-14T14:00:14,True,1,,,,,,4530,LA CONDAMINE-CHATELARD,,,4062,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.11,NAP,N,44.462006,6.749425
5440797,16,544079700016,O,,NN,,,,True,1,,,,,,4700,ORAISON,,,4143,,,,,,,,,,,,,,,,,,,,F,,,,,60.07,NAP,N,43.904657,5.914681
5440813,29,544081300029,O,,NN,,,2019-11-14T14:00:14,True,1,,,,,LE FOREST DE BAYONS,4250,LA MOTTE-DU-CAIRE,,,4134,,,,,,,,,,,,,,,,,,,1989-12-31,F,,,,,55.3A,NAF1993,N,44.343972,6.02763
5440847,19,544084700019,O,,,,,,True,1,,,,,,4140,VERDACHES,,,4235,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,69.22,NAP,N,44.26318,6.345494
5440904,18,544090400018,O,,,,,,True,1,,,,HAM,LES BAUMES,4200,MISON,,,4123,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N,44.229705,5.875885
5440938,16,544093800016,O,,,,,,True,1,,,,,,4200,MISON,,,4123,,,,,,,,,,,,,,,,,,,,F,,,,,01.80,NAP,N,44.264117,5.872239
5440987,13,544098700013,O,,,,,2019-11-14T14:00:14,True,1,,,,,,4500,MONTAGNAC-MONTPEZAT,,,4124,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N,43.776149,6.102417
5441027,17,544102700017,O,,,,,,True,1,,,,RUE,NEUVE,4140,SEYNE,,,4205,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N,48.795431,2.398597
5441035,10,544103500010,O,,NN,,,,True,1,,18.0,,RUE,PIED DE VILLE,4000,DIGNE-LES-BAINS,,,4070,,,,,,,,,,,,,,,,,,,1995-06-30,F,,,,,52.1B,NAF1993,N,44.091214,6.234457
5441043,14,544104300014,O,1954-01-01,NN,,,2012-07-28T11:19:32,True,4,,5.0,,BD,VICTOR HUGO,4000,DIGNE-LES-BAINS,,,4070,,,,,,,,,,,,,,,,,,,2008-01-01,F,,,,,68.20B,NAFRev2,N,44.094251,6.235934
5441068,11,544106800011,O,,,,,,True,1,,,,RUE,LT BLONDEAU,4120,CASTELLANE,,,4039,,,,,,,,,,,,,,,,,,,1989-12-31,F,,,,,38.40,NAP,N,43.846591,6.51425
5441134,11,544113400011,O,,NN,,,,True,1,,42.0,,RUE,MANUEL,4400,BARCELONNETTE,,,4019,,,,,,,,,,,,,,,,,,,1992-11-30,F,,,,,52.1J,NAF1993,N,44.387013,6.651035
5441159,18,544115900018,O,,,,,2019-11-14T14:00:14,True,1,,,,QUAI,SAINT AUBAN,4160,CHATEAU-ARNOUX-SAINT-AUBAN,,,4049,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N,44.068786,5.990248
5441191,29,544119100029,O,,,,,2019-11-14T14:00:14,True,1,,,,ALL,DES ERABLES,4160,CHATEAU-ARNOUX-SAINT-AUBAN,,,4049,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,62.41,NAP,N,44.100966,6.009839
5441233,11,544123300011,O,,,,,,True,1,,,,,,4370,COLMARS,,,4061,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.04,NAP,N,44.182833,6.62894
5441241,14,544124100014,O,,,,,,True,1,,,,QUAI,PLANTIERS,4200,SISTERON,,,4209,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,69.11,NAP,N,44.185682,5.947759
5441266,11,544126600011,O,,,,,,True,1,,,,,,4270,ESTOUBLON,,,4084,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N,43.941668,6.19893
5441316,14,544131600014,O,,,,,,True,1,,,,,,4240,ANNOT,,,4008,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,38.50,NAP,N,43.96091,6.6722
5441357,18,544135700018,O,,,,,,True,1,,,,,,4190,LES MEES,,,4116,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N,44.00598,5.945759
5441365,11,544136500011,O,,NN,,,,True,1,,4.0,,PL,DU MARCHE,4000,DIGNE-LES-BAINS,,,4070,,,,,,,,,,,,,,,,,,,1990-05-02,F,,,,,58.11,NAP,N,44.101474,6.2311
