siren,siret,adresse,postcode,city
5420021,542002100031,134  RUE,80130,FRIVILLE-ESCARBOTIN
5420021,542002100049,52  RUE,80100,ABBEVILLE
5420021,542002100056,21 B BD,80100,ABBEVILLE
5420039,542003900017,3  PL,80100,ABBEVILLE
5420047,542004700010,114  CHS,80100,ABBEVILLE
5420047,542004700028,2  ,80100,ABBEVILLE
5420054,542005400024,54  RUE,80970,SAILLY-FLIBEAUCOURT
5420070,542007000020,2  ,80100,ABBEVILLE
5420088,542008800014,3  RUE,80100,ABBEVILLE
5420104,542010400019,13  PL,80100,ABBEVILLE
5420120,542012000015,  RUE,80120,RUE
5420120,542012000023,12  RTE,62180,RANG-DU-FLIERS
5420120,542012000031,  RTE,62140,MARCONNELLE
5420120,542012000049,  RUE,62180,CONCHIL-LE-TEMPLE
5420146,542014600010,  PL,80120,RUE
5420153,542015300016,  RUE,80100,ABBEVILLE
5420187,542018700014,  CHS,80100,ABBEVILLE
5420195,542019500033,  ,80140,RAMBURES
5420245,542024500010,2  BD,80100,ABBEVILLE
5420260,542026000019,  RUE,80570,DARGNIES
5420278,542027800011,  ,80270,ALLERY
5440011,544001100012,  AV,04000,DIGNE-LES-BAINS
5440078,544007800011,  ,04370,COLMARS
5440110,544011000038,  CRS,04600,CHATEAU-ARNOUX-SAINT-AUBAN
5440110,544011000053,13  BD,04000,DIGNE-LES-BAINS
5440110,544011000061,6  RUE,04000,DIGNE-LES-BAINS
5440136,544013600017,  ,04500,QUINSON
5440185,544018500014,  ,04250,TURRIERS
5440219,544021900011,  ,04210,VALENSOLE
5440235,544023500017,  ,04170,THORAME-BASSE
5440409,544040900018,  RUE,04200,SISTERON
5440508,544050800017,  RTE,04160,CHATEAU-ARNOUX-SAINT-AUBAN
5440557,544055700014,  PL,04000,DIGNE-LES-BAINS
5440565,544056500017,  PL,04200,SISTERON
5440649,544064900019,  RUE,04800,SAINT-MARTIN-DE-BROMES
5440672,544067200011,  ,04120,CASTELLANE
5440698,544069800016,  ,04370,COLMARS
5440722,544072200014,  ,04120,CASTELLANE
5440755,544075500014,  ,04190,LES MEES
5440789,544078900013,  ,04530,LA CONDAMINE-CHATELARD
5440797,544079700016,  ,04700,ORAISON
5440813,544081300029,  ,04250,LA MOTTE-DU-CAIRE
5440847,544084700019,  ,04140,VERDACHES
5440904,544090400018,  HAM,04200,MISON
5440938,544093800016,  ,04200,MISON
5440987,544098700013,  ,04500,MONTAGNAC-MONTPEZAT
5441027,544102700017,  RUE,04140,SEYNE
5441035,544103500010,18  RUE,04000,DIGNE-LES-BAINS
5441043,544104300014,5  BD,04000,DIGNE-LES-BAINS
5441068,544106800011,  RUE,04120,CASTELLANE
5441134,544113400011,42  RUE,04400,BARCELONNETTE
5441159,544115900018,  QUAI,04160,CHATEAU-ARNOUX-SAINT-AUBAN
5441191,544119100029,  ALL,04160,CHATEAU-ARNOUX-SAINT-AUBAN
5441233,544123300011,  ,04370,COLMARS
5441241,544124100014,  QUAI,04200,SISTERON
5441266,544126600011,  ,04270,ESTOUBLON
5441316,544131600014,  ,04240,ANNOT
5441357,544135700018,  ,04190,LES MEES
5441365,544136500011,4  PL,04000,DIGNE-LES-BAINS
5441373,544137300015,  ,04360,MOUSTIERS-SAINTE-MARIE
