siren,siret,adresse,postcode,city,latitude,longitude,result_label,result_score,result_score_next,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
5420047,542004700028,2 RIVE DROITE DE LA SOMME,80100,ABBEVILLE,50.113572,1.808125,Rive Droite de la Somme 80100 Abbeville,0.6243971087928465,0.5669612834224598,street,80001_2080,,Rive Droite de la Somme,Rive Droite de la Somme,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
5420054,542005400024,54 RUE DES ECOLES,80970,SAILLY-FLIBEAUCOURT,50.179758,1.768971,54 Rue des Ecoles 80970 Sailly-Flibeaucourt,0.6521896969696969,,housenumber,80692_0076_00054,54,54 Rue des Ecoles,Rue des Ecoles,80970,Sailly-Flibeaucourt,"80, Somme, Hauts-de-France",80692,,,,ok
5420070,542007000020,2 VOIE NOUVELLE,80100,ABBEVILLE,50.111302,1.814517,2 Voie Nouvelle 80100 Abbeville,0.5816375401069518,0.37677519061583575,housenumber,80001_2279_00002,2,2 Voie Nouvelle,Voie Nouvelle,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
5420088,542008800014,3 RUE DES LINGERS,80100,ABBEVILLE,50.106612,1.834076,3 Rue des Lingers 80100 Abbeville,0.6050714408233275,,housenumber,80001_1190_00003,3,3 Rue des Lingers,Rue des Lingers,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
5420104,542010400019,13 PL MAX LEJEUNE,80100,ABBEVILLE,50.105966,1.832896,13 Place Max Lejeune 80100 Abbeville,0.5525914992025518,,housenumber,80001_0970_00013,13,13 Place Max Lejeune,Place Max Lejeune,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
5420120,542012000015, RUE DE LA FONTAINE,80120,RUE,50.274746,1.674007,15 Rue de la Fontaine 80120 Rue,0.6123527272727272,0.47579606060606056,housenumber,80688_0420_00015,15,15 Rue de la Fontaine,Rue de la Fontaine,80120,Rue,"80, Somme, Hauts-de-France",80688,,,,ok
5420120,542012000023,12 RTE DE MONTREUIL,62180,RANG-DU-FLIERS,50.418101,1.649825,Route de Montreuil 62180 Rang-du-Fliers,0.5529886868686869,,street,62688_0420,,Route de Montreuil,Route de Montreuil,62180,Rang-du-Fliers,"62, Pas-de-Calais, Hauts-de-France",62688,,,,ok
5420120,542012000031, RTE NATIONALE,62140,MARCONNELLE,50.374723,2.013935,Route Nationale 62140 Marconnelle,0.5389491245791246,0.4844845454545454,street,62550_0050,,Route Nationale,Route Nationale,62140,Marconnelle,"62, Pas-de-Calais, Hauts-de-France",62550,,,,ok
5420120,542012000049, RUE DE LA GARE,62180,CONCHIL-LE-TEMPLE,50.362968,1.662478,Rue de la Gare 62180 Conchil-le-Temple,0.6212336677115987,0.5145045454545454,street,62233_0059,,Rue de la Gare,Rue de la Gare,62180,Conchil-le-Temple,"62, Pas-de-Calais, Hauts-de-France",62233,,,,ok
5420146,542014600010, PL DU GENERAL LECLERC,80120,RUE,50.272544,1.668688,Place du Général Leclerc 80120 Rue,0.5242906611570247,,street,80688_0500,,Place du Général Leclerc,Place du Général Leclerc,80120,Rue,"80, Somme, Hauts-de-France",80688,,,,ok
5420153,542015300016, RUE MARECHAL FOCH,80100,ABBEVILLE,50.105376,1.833987,16 Rue du Maréchal Foch 80100 Abbeville,0.6286772727272727,,housenumber,80001_1260_00016,16,16 Rue du Maréchal Foch,Rue du Maréchal Foch,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
5420187,542018700014, CHS D HOCQUET,80100,ABBEVILLE,50.107469,1.825546,Chaussée d'Hocquet 80100 Abbeville,0.4885661038961039,,street,80001_0950,,Chaussée d'Hocquet,Chaussée d'Hocquet,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
5420195,542019500033, AU CHEMIN DE LA RIVIERE,80140,RAMBURES,49.954945,1.707059,Au Chemin de la Rivière 80140 Rambures,0.6049245768025079,,street,80663_B014,,Au Chemin de la Rivière,Au Chemin de la Rivière,80140,Rambures,"80, Somme, Hauts-de-France",80663,,,,ok
5420245,542024500010,2 BD VAUBAN,80100,ABBEVILLE,50.108575,1.839099,2 Boulevard Vauban 80100 Abbeville,0.4732395041322313,,housenumber,80001_2210_00002,2,2 Boulevard Vauban,Boulevard Vauban,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
5420260,542026000019, RUE JOLIOT CURIE,80570,DARGNIES,50.044256,1.524773,19 Rue Joliot Curie 80570 Dargnies,0.6306598395721925,,housenumber,80235_0240_00019,19,19 Rue Joliot Curie,Rue Joliot Curie,80570,Dargnies,"80, Somme, Hauts-de-France",80235,,,,ok
5420278,542027800011,,80270,ALLERY,49.964032,1.89614,Allery,0.3379581818181818,0.3070233333333333,municipality,80019,,Allery,,80270,Allery,"80, Somme, Hauts-de-France",80019,,,,ok
