,siren,siret,adresse,postcode,city
246,5520077,552007700016,13.0+RUE+GAMBETTA,80210,FEUQUIERES-EN-VIMEU
247,5520119,552011900016,74.0+BD+DE LA PORTELETTE,80100,ABBEVILLE
248,5520119,552011900024,27.0+RUE+LEDIEN,80100,ABBEVILLE
249,5520119,552011900032,,80870,MOYENNEVILLE
250,5520119,552011900040,,80490,BAILLEUL
251,5520119,552011900057,17.0+RUE+LEDIEN,80100,ABBEVILLE
252,5520135,552013500012,253.0+RUE+DE MENCHECOURT,80100,ABBEVILLE
253,5520135,552013500020,32.0+PL+DE LA GARE - LILLE,59800,LILLE
254,5520135,552013500038,70.0+RUE+DE LAUSANNE,1220,DIVONNE-LES-BAINS
255,5520176,552017600016,50.0+RUE+PASTEUR,80210,FEUQUIERES-EN-VIMEU
256,5520176,552017600032,ZONE DES HAYETTES,80210,CHEPY
257,5520200,552020000014,4.0+RUE+PIERRE CURIE,80220,GAMACHES
258,5520234,552023400021,ZONE INDUSTRIELLE,80210,FEUQUIERES-EN-VIMEU
259,5520242,552024200016,3.0+RUE+DU 43 RIC,80510,LONGPRE-LES-CORPS-SAINTS
260,5520242,552024200032,55.0+BD+DE SEBASTOPOL,75001,PARIS 1
261,5520242,552024200040,88.0+RUE+ROBESPIERRE,93100,MONTREUIL
262,5520242,552024200057,14.0+RUE+LESAULT,93500,PANTIN
263,5520242,552024200065,14.0+RUE+LESAULT,93500,PANTIN
264,5520242,552024200073,1.0+AV+ALBERT EINSTEIN,78190,TRAPPES
265,5520242,552024200081,4.0+RUE+DU 43 EME RIC,80510,LONGPRE-LES-CORPS-SAINTS
266,5520259,552025900010,CHS+DU BOIS,80100,ABBEVILLE
267,5520309,552030900013,RUE+MARECHAL FOCH,80100,ABBEVILLE
268,5520325,552032500019,12.0+RUE+HENRI BARBUSSE,80570,DARGNIES
269,5520325,552032500027,36.0+AV+JUNOT,75018,PARIS 18
270,5520408,552040800047,52.0+RUE+DE LA BIENFAISANCE,75008,PARIS 8
271,5520408,552040800054,17.0+RUE+DE LA BAUME,75008,PARIS 8
272,5520416,552041600016,60.0+QUAI+DE LA POINTE,80100,ABBEVILLE
273,5520424,552042400010,RUE+JOSSE VAN ROBAIS,80100,ABBEVILLE
274,5520432,552043200013,58.0+RUE+GRANDE,80220,GAMACHES
275,5520440,552044000016,2.0+RUE+SAINT GILLES,80100,ABBEVILLE
276,5520465,552046500039,RUE+DE L HOMMELET,59100,ROUBAIX
277,5520507,552050700012,MOU SAINT JEAN,80120,RUE
278,5540034,554003400013,PL+GENERAL DE GAULLE,4000,DIGNE-LES-BAINS
279,5540083,554008300010,RUE+4 COINS,4500,RIEZ
280,5540091,554009100013,AV+DE LA LIBERATION,4200,SISTERON
281,5540125,554012500019,PL+JEAN JAURES,4160,CHATEAU-ARNOUX-SAINT-AUBAN
282,5540273,554027300025,7.0+PL+BERAUD,4330,BARREME
283,5540307,554030700013,HAM+LE SAUZE,4400,ENCHASTRAYES
284,5540315,554031500016,44.0+BD+GASSENDI,4000,DIGNE-LES-BAINS
285,5540349,554034900015,RUE+DES COURTILS,4360,MOUSTIERS-SAINTE-MARIE
286,5540372,554037200017,2.0+PL+DE L HORLOGE,4200,SISTERON
287,5540380,554038000010,49.0+BD+GASSENDI,4000,DIGNE-LES-BAINS
288,5540422,554042200010,9.0+ALL+ROMAIN SELSIS,4700,ORAISON
289,5540448,554044800015,,4350,MALIJAI
290,5540455,554045500010,LE VILLAGE,4350,MALIJAI
291,5540497,554049700012,47.0+RUE+MANUEL,4400,BARCELONNETTE
292,5540539,554053900029,PL+FREDERIC MISTRAL,4210,VALENSOLE
293,5540547,554054700014,,4120,CASTELLANE
294,5540554,554055400010,RUE+DE LA GRANDE FONTAINE,4210,VALENSOLE
295,5540612,554061200016,LE CYRNOS,4200,SISTERON
296,5540646,554064600014,PL+MARIUS SAUVAIRE,4120,CASTELLANE
297,5540661,554066100021,34.0+BD+GASSENDI,4000,DIGNE-LES-BAINS
298,5540828,554082800018,6.0+PL+DE LA MAIRIE,4200,SISTERON
299,5540836,554083600011,GRAND RUE,4210,VALENSOLE
300,5540844,554084400015,,4500,QUINSON
301,5540869,554086900012,7.0+RUE+SAUNERIE,4200,SISTERON
302,5540885,554088500018,PL+CLEMENT PLANE,4700,ORAISON
303,5540901,554090100013,,4360,MOUSTIERS-SAINTE-MARIE
304,5540968,554096800012,7.0+RUE+CAPITOUL,4000,DIGNE-LES-BAINS
