siren,siret,adresse,postcode,city
5440813,544081300029, LE FOREST DE BAYONS,4250,LA MOTTE-DU-CAIRE
5440847,544084700019,,4140,VERDACHES
5440904,544090400018, HAM LES BAUMES,4200,MISON
5440938,544093800016,,4200,MISON
5440987,544098700013,,4500,MONTAGNAC-MONTPEZAT
5441027,544102700017, RUE NEUVE,4140,SEYNE
5441035,544103500010,18 RUE PIED DE VILLE,4000,DIGNE-LES-BAINS
5441043,544104300014,5 BD VICTOR HUGO,4000,DIGNE-LES-BAINS
5441068,544106800011, RUE LT BLONDEAU,4120,CASTELLANE
5441134,544113400011,42 RUE MANUEL,4400,BARCELONNETTE
5441159,544115900018, QUAI SAINT AUBAN,4160,CHATEAU-ARNOUX-SAINT-AUBAN
5441191,544119100029, ALL DES ERABLES,4160,CHATEAU-ARNOUX-SAINT-AUBAN
5441233,544123300011,,4370,COLMARS
5441241,544124100014, QUAI PLANTIERS,4200,SISTERON
5441266,544126600011,,4270,ESTOUBLON
5441316,544131600014,,4240,ANNOT
5441357,544135700018,,4190,LES MEES
5441365,544136500011,4 PL DU MARCHE,4000,DIGNE-LES-BAINS
5441373,544137300015,,4360,MOUSTIERS-SAINTE-MARIE
5441399,544139900010,,4170,LA MURE-ARGENS
5441407,544140700011, RUE BASSE,4140,SEYNE
5441449,544144900013,,4800,GREOUX-LES-BAINS
5441548,544154800012,39 RUE DE L HUBAC,4000,DIGNE-LES-BAINS
5441589,544158900016, PL DR ITARD,4700,ORAISON
5441597,544159700019, BD GASSENDI,4000,DIGNE-LES-BAINS
5441613,544161300014,,4160,CHATEAU-ARNOUX-SAINT-AUBAN
5441621,544162100017,,4700,PUIMICHEL
5441662,544166200011, PL MARCHE,4210,VALENSOLE
5450010,545001000011,,4160,CHATEAU-ARNOUX-SAINT-AUBAN
5450051,545005100015, QUAI DE LA BONNETTE,4000,DIGNE-LES-BAINS
5450093,545009300017,5 ALL L GARDIOL,4500,RIEZ
5450093,545009300025, QUAI STE ANNE,4500,RIEZ
5450093,545009300033, AV DES THERMES,4800,GREOUX-LES-BAINS
5450093,545009300041,36 RUE GRANDE,4800,GREOUX-LES-BAINS
5450093,545009300058,27 RUE GRANDE,4800,GREOUX-LES-BAINS
5450101,545010100026,4 BD LA FERRAGE,13860,PEYROLLES-EN-PROVENCE
5450119,545011900010,63 BD GASSENDI,4000,DIGNE-LES-BAINS
5450119,545011900028, SAINT CHRISTOPHE,4000,DIGNE-LES-BAINS
5450119,545011900036,3 BD GASSENDI,4000,DIGNE-LES-BAINS
5470018,547001800010, AV DU MARCHE,44500,LA BAULE-ESCOUBLAC
5470075,547007500010,13 RUE DU CENTRE,44510,LE POULIGUEN
5470190,547019000017, RUE DE KERVENEL,44490,LE CROISIC
5470208,547020800017,105 AV DE LA REPUBLIQUE,44600,SAINT-NAZAIRE
5470430,547043000017,2 RUE CHARLES BRUNELIERE,44570,TRIGNAC
5470455,547045500014, LD LA BOSSE,44500,LA BAULE-ESCOUBLAC
5470489,547048900013, LD LE PONT DENYON,44480,DONGES
5470620,547062000013,17 RUE DES CHANTIERS,44600,SAINT-NAZAIRE
5470653,547065300014,23 BD LEON GAMBETTA,44600,SAINT-NAZAIRE
5470927,547092700020, AV DE LA FORET,44300,NANTES
5470943,547094300019,,44130,BLAIN
5470984,547098400013, AV DE VERA CRUZ,44600,SAINT-NAZAIRE
5471065,547106500010,1 PL DU GENERAL D ARGENCE,44410,HERBIGNAC
5471115,547111500013,45 RUE DE LA PAIX ET DES ARTS,44600,SAINT-NAZAIRE
5471214,547121400014,8 PL DE L HOTEL DE VILLE,44260,SAVENAY
5471420,547142000017, BD DE VERDUN,44600,SAINT-NAZAIRE
5471438,547143800019, BEAULIEU,44160,PONTCHATEAU
5471495,547149500019, RUE DE VERDUN,44260,SAVENAY
5471578,547157800012, PL DE L EGLISE,44130,LE GAVRE
5471594,547159400019, PL DE L'EGLISE,44530,GUENROUET
5471602,547160200010, RUE DE PORNICHET,44600,SAINT-NAZAIRE
5471628,547162800015,22 RUE GREGOIRE ORAIN,44460,FEGREAC
5471685,547168500015, RTE DE NANTES,44160,PONTCHATEAU
5471743,547174300012, AV DE LA REPUBLIQUE,44600,SAINT-NAZAIRE
5471768,547176800019, AV DES IBIS,44500,LA BAULE-ESCOUBLAC
5471784,547178400016, RUE HOTEL VILLE,44290,GUEMENE-PENFAO
5471800,547180000010,145 AV DU GENERAL DE GAULLE,44500,LA BAULE-ESCOUBLAC
5471800,547180000028, RTE DE LA BAULE,44350,GUERANDE
5471842,547184200012, PL ABB CORBILLE,44130,BOUVRON
