siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,nombrePeriodesEtablissement,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,libelleCommuneEtranger2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement,codePaysEtranger2Etablissement,libellePaysEtranger2Etablissement,dateDebut,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement
005511688,00011,00551168800011,O,,,,,,true,1,,33,,RUE,VASSEUR,80120,QUEND,,,80649,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,81.21,NAP,N
005511738,00014,00551173800014,O,,NN,,,2019-11-14T14:01:01,true,1,,,,RUE,NOTRE DAME,80135,SAINT-RIQUIER,,,80716,,,,,,,,,,,,,,,,,,,,F,,,,,62.44,NAP,N
005511845,00017,00551184500017,O,,,,,,true,1,,10,,RUE,DU GENERAL LECLERC,80550,LE CROTOY,,,80228,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,81.21,NAP,N
005511944,00018,00551194400018,O,,,,,,true,1,,,,,,80570,DARGNIES,,,80235,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,21.11,NAP,N
005512025,00015,00551202500015,O,,,,,,true,1,,,,RUE,MARECHAL FOCH,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,81.21,NAP,N
005512066,00019,00551206600019,O,,NN,,,2019-11-14T14:01:00,true,1,,3,,RUE,FERDINAND BUISSON,80210,FEUQUIERES-EN-VIMEU,,,80308,,,,,,,,,,,,,,,,,,,1988-06-15,F,,,,,81.21,NAP,N
005512231,00019,00551223100019,O,,NN,,,,true,1,,,,,,80150,LE BOISLE,,,80109,,,,,,,,,,,,,,,,,,,1994-08-29,F,,,,,55.40,NAP,N
005512363,00010,00551236300010,O,,NN,,,,true,1,,,,,,80132,LE TITRE,,,80763,,,,,,,,,,,,,,,,,,,1991-12-20,F,,,,,62.44,NAP,N
005512447,00011,00551244700011,O,,NN,,,2019-11-14T14:01:00,true,1,,,,RUE,ROGER SALENGRO,80210,FEUQUIERES-EN-VIMEU,,,80308,,,,,,,,,,,,,,,,,,,1988-09-30,F,,,,,81.21,NAP,N
005512645,00010,00551264500010,O,,NN,,,,true,1,,,,RUE,DE L EGLISE,80140,HUPPY,,,80446,,,,,,,,,,,,,,,,,,,,F,,,,,22.02,NAP,N
005512678,00011,00551267800011,O,,NN,,,,true,1,,,,PL,DU MONUMENT,80550,LE CROTOY,,,80228,,,,,,,,,,,,,,,,,,,,F,,,,,81.21,NAP,N
005512686,00014,00551268600014,O,,NN,,,,true,1,,8,,RUE,DE LA PORTE DU PONT,80550,LE CROTOY,,,80228,,,,,,,,,,,,,,,,,,,1994-03-31,F,,,,,55.3A,NAF1993,N
005512710,00012,00551271000012,O,,NN,,,2019-11-14T14:01:01,true,1,,9,,RTE,D ABBEVILLE,80135,SAINT-RIQUIER,,,80716,,,,,,,,,,,,,,,,,,,,F,,,,,62.43,NAP,N
005512728,00014,00551272800014,O,,,,,,true,1,,,,RUE,DE MALADRERIE,80150,YVRENCHEUX,,,80833,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.05,NAP,N
005515309,00010,00551530900010,O,,,,,,true,1,,,,RUE,D ABBEVILLE,80120,QUEND,,,80649,,,,,,,,,,,,,,,,,,,1992-01-20,F,,,,,92.7C,NAF1993,N
005520028,00019,00552002800019,O,1955-01-01,NN,,,2008-01-04T17:54:12,true,5,,,,RUE,AMBROISE CROIZAT,80570,DARGNIES,,,80235,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,68.20B,NAFRev2,N
005520036,00012,00552003600012,O,,NN,,,,true,1,,220,,RUE,DE MENCHECOURT,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1989-03-30,F,,,,,15.11,NAP,N
005520077,00016,00552007700016,O,1955-01-01,NN,,,2019-11-14T14:01:00,true,5,,13,,RUE,GAMBETTA,80210,FEUQUIERES-EN-VIMEU,,,80308,,,,,,,,,,,,,,,,,,,2014-12-19,A,,,,,25.72Z,NAFRev2,N
005520119,00016,00552011900016,O,1900-01-01,,,,2007-01-23T12:14:33,false,4,,74,,BD,DE LA PORTELETTE,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,2006-12-25,F,L ABBEVILLOISE,,,,63.1E,NAFRev1,N
005520119,00024,00552011900024,O,1900-01-01,,,,2007-01-23T12:14:33,true,4,,27,,RUE,LEDIEN,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,2006-12-25,F,,,,,51.2A,NAFRev1,N
005520119,00032,00552011900032,O,1984-01-13,NN,,,2007-01-23T12:14:33,false,3,,,,,,80870,MOYENNEVILLE,,,80578,,,,,,,,,,,,,,,,,,,2006-12-25,F,,,,,63.1E,NAFRev1,N
005520119,00040,00552011900040,O,1983-01-01,NN,,,,false,3,,,,,,80490,BAILLEUL,,,80051,,,,,,,,,,,,,,,,,,,2001-06-30,F,,,,,63.1E,NAF1993,N
005520119,00057,00552011900057,O,1975-01-01,NN,,,2007-01-23T12:14:33,false,3,,17,,RUE,LEDIEN,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,2006-12-25,F,,,,,63.1E,NAFRev1,N
005520135,00012,00552013500012,O,1955-01-01,NN,,,2008-01-04T17:54:12,false,5,,253,,RUE,DE MENCHECOURT,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,2007-11-19,F,,,,,74.1J,NAFRev1,O
005520135,00020,00552013500020,O,1998-09-30,NN,,,2023-04-19T15:39:27,false,3,,32,,PL,DE LA GARE - LILLE,59800,LILLE,,,59350,,,,,,,,,,,,,,,,,,,2007-04-20,F,,,,,74.1J,NAFRev1,N
005520135,00038,00552013500038,O,2007-04-20,,,,2019-11-14T14:00:12,true,2,,70,,RUE,DE LAUSANNE,01220,DIVONNE-LES-BAINS,,,01143,,,,,,,,,,,,,,,,,,,2007-11-19,F,,,,,17.1P,NAFRev1,N
005520176,00016,00552017600016,O,1955-01-01,12,2021,,2023-11-30T10:16:27,true,4,,50,,RUE,PASTEUR,80210,FEUQUIERES-EN-VIMEU,,,80308,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,17.21A,NAFRev2,O
005520176,00032,00552017600032,O,1999-08-30,12,2021,,2023-11-30T10:16:27,false,4,,,,,ZONE DES HAYETTES,80210,CHEPY,,,80190,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,17.21A,NAFRev2,O
005520200,00014,00552020000014,O,,,,,,true,1,,4,,RUE,PIERRE CURIE,80220,GAMACHES,,,80373,,,,,,,,,,,,,,,,,,,,F,,,,,81.21,NAP,N
005520234,00021,00552023400021,O,,,,,2019-11-14T14:01:00,true,1,,,,,ZONE INDUSTRIELLE,80210,FEUQUIERES-EN-VIMEU,,,80308,,,,,,,,,,,,,,,,,,,1988-06-23,F,,,,,59.10,NAP,N
005520242,00016,00552024200016,O,1900-01-01,12,2021,,2023-11-30T10:16:27,false,5,,3,,RUE,DU 43 RIC,80510,LONGPRE-LES-CORPS-SAINTS,,,80488,,,,,,,,,,,,,,,,,,,2023-03-01,F,,,,,20.30Z,NAFRev2,O
005520242,00032,00552024200032,O,1900-01-01,NN,,,,false,4,,55,,BD,DE SEBASTOPOL,75001,PARIS 1,,,75101,,,,,,,,,,,,,,,,,,,1994-12-25,F,,,,,74.1J,NAF1993,O
005520242,00040,00552024200040,O,1993-03-01,NN,,,,false,4,,88,,RUE,ROBESPIERRE,93100,MONTREUIL,,,93048,,,,,,,,,,,,,,,,,,,2001-01-19,F,,,,,74.1J,NAF1993,O
005520242,00057,00552024200057,O,2001-01-15,NN,,,2006-11-25T09:04:27,false,3,,14,,RUE,LESAULT,93500,PANTIN,,,93055,,,,,,,,,,,,,,,,,,,2004-10-12,F,,,,,24.3Z,NAFRev1,N
005520242,00065,00552024200065,O,2001-01-19,NN,,,2010-07-07T10:55:06,false,4,,14,,RUE,LESAULT,93500,PANTIN,,,93055,,,,,,,,,,,,,,,,,,,2008-01-01,F,,,,,20.30Z,NAFRev2,O
005520242,00073,00552024200073,O,2004-10-01,NN,,,2009-06-27T03:06:27,false,4,,1,,AV,ALBERT EINSTEIN,78190,TRAPPES,,,78621,,,,,,,,,,,,,,,,,,,2008-01-01,F,,,,,20.30Z,NAFRev2,O
005520242,00081,00552024200081,O,2023-03-01,,,,2023-07-02T20:25:04,true,1,,4,,RUE,DU 43 EME RIC,80510,LONGPRE-LES-CORPS-SAINTS,,,80488,,,,,,,,,,,,,,,,,,,2023-03-01,A,,,,,20.30Z,NAFRev2,N
005520259,00010,00552025900010,O,,,,,,true,1,,,,CHS,DU BOIS,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.43,NAP,N
005520309,00013,00552030900013,O,,,,,,true,1,,,,RUE,MARECHAL FOCH,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,64.13,NAP,N
005520325,00019,00552032500019,O,1955-01-01,12,2021,,2023-11-30T10:16:27,false,5,,12,,RUE,HENRI BARBUSSE,80570,DARGNIES,,,80235,,,,,,,,,,,,,,,,,,,2013-12-31,A,,,,,46.74B,NAFRev2,O
005520325,00027,00552032500027,O,2018-12-20,,,,2023-04-01T08:39:12,true,1,,36,,AV,JUNOT,75018,PARIS 18,,,75118,,,,,,,,,,,,,,,,,,,2018-12-20,A,,,,,70.10Z,NAFRev2,N
005520408,00047,00552040800047,O,2000-12-14,NN,,,,false,4,,52,,RUE,DE LA BIENFAISANCE,75008,PARIS 8,,,75108,,,,,,,,,,,,,,,,,,,2003-07-01,F,,,,,65.2E,NAFRev1,N
005520408,00054,00552040800054,O,2003-07-01,NN,,,2006-10-26T23:33:48,true,3,,17,,RUE,DE LA BAUME,75008,PARIS 8,,,75108,,,,,,,,,,,,,,,,,,,2004-08-01,F,,,,,65.2E,NAFRev1,N
005520416,00016,00552041600016,O,1900-01-01,NN,,,2008-11-07T00:16:02,true,4,,60,,QUAI,DE LA POINTE,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1995-12-25,F,,,,,37.1Z,NAF1993,O
005520424,00010,00552042400010,O,,,,,,true,1,,,,RUE,JOSSE VAN ROBAIS,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,55.60,NAP,N
005520432,00013,00552043200013,O,,NN,,,,true,1,,58,,RUE,GRANDE,80220,GAMACHES,,,80373,,,,,,,,,,,,,,,,,,,,F,,,,,64.22,NAP,N
005520440,00016,00552044000016,O,1955-01-01,NN,,,,true,4,,2,,RUE,SAINT GILLES,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,2003-04-01,F,,,,,18.2D,NAFRev1,O
005520465,00039,00552046500039,O,,,,,,true,1,,,,RUE,DE L HOMMELET,59100,ROUBAIX,,,59512,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,59.02,NAP,N
005520507,00012,00552050700012,O,,,,,,true,1,,,,,MOU SAINT JEAN,80120,RUE,,,80688,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,57.09,NAP,N
005540034,00013,00554003400013,O,,,,,,true,1,,,,PL,GENERAL DE GAULLE,04000,DIGNE-LES-BAINS,,,04070,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,81.21,NAP,N
005540083,00010,00554008300010,O,,,,,,true,1,,,,RUE,4 COINS,04500,RIEZ,,,04166,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,64.11,NAP,N
005540091,00013,00554009100013,O,,,,,,true,1,,,,AV,DE LA LIBERATION,04200,SISTERON,,,04209,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,47.02,NAP,N
005540125,00019,00554012500019,O,,,,,2019-11-14T14:00:14,true,1,,,,PL,JEAN JAURES,04160,CHATEAU-ARNOUX-SAINT-AUBAN,,,04049,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
005540273,00025,00554027300025,O,1900-01-01,NN,,,2008-01-04T17:54:12,true,3,,7,,PL,BERAUD,04330,BARREME,,,04022,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,68.20B,NAFRev2,N
005540307,00013,00554030700013,O,1955-01-01,NN,,,,true,1,,,,HAM,LE SAUZE,04400,ENCHASTRAYES,,,04073,,,,,,,,,,,,,,,,,,,1998-06-30,F,,,,,70.2C,NAF1993,N
005540315,00016,00554031500016,O,,,,,,true,1,,44,,BD,GASSENDI,04000,DIGNE-LES-BAINS,,,04070,,,,,,,,,,,,,,,,,,,1991-08-17,F,,,,,64.44,NAP,N
005540349,00015,00554034900015,O,,,,,2019-11-14T14:00:14,true,1,,,,RUE,DES COURTILS,04360,MOUSTIERS-SAINTE-MARIE,,,04135,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
005540372,00017,00554037200017,O,,,,,,true,1,,2,,PL,DE L HORLOGE,04200,SISTERON,,,04209,,,,,,,,,,,,,,,,,,,1991-12-31,F,,,,,64.30,NAP,N
005540380,00010,00554038000010,O,1974-04-11,NN,,,2010-11-17T05:54:47,true,5,,49,,BD,GASSENDI,04000,DIGNE-LES-BAINS,,,04070,,,,,,,,,,,,,,,,,,,2010-11-16,F,,,,,47.73Z,NAFRev2,O
005540422,00010,00554042200010,O,,NN,,,,true,1,,9,,ALL,ROMAIN SELSIS,04700,ORAISON,,,04143,,,,,,,,,,,,,,,,,,,1990-07-01,F,,,,,59.08,NAP,N
005540448,00015,00554044800015,O,,,,,,true,1,,,,,,04350,MALIJAI,,,04108,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.98,NAP,N
005540455,00010,00554045500010,O,,,,,,true,1,,,,,LE VILLAGE,04350,MALIJAI,,,04108,,,,,,,,,,,,,,,,,,,1991-12-31,F,,,,,39.01,NAP,N
005540497,00012,00554049700012,O,1989-08-25,,,,,true,3,,47,,RUE,MANUEL,04400,BARCELONNETTE,,,04019,,,,,,,,,,,,,,,,,,,1991-12-25,F,,,,,38.50,NAP,N
005540539,00029,00554053900029,O,,,,,2019-09-05T11:13:08,true,1,,,,PL,FREDERIC MISTRAL,04210,VALENSOLE,,,04230,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,81.21,NAP,N
005540547,00014,00554054700014,O,,NN,,,,true,1,,,,,,04120,CASTELLANE,,,04039,,,,,,,,,,,,,,,,,,,1989-01-07,F,,,,,55.4B,NAF1993,N
005540554,00010,00554055400010,O,,,,,2019-08-27T14:09:28,true,1,,,,RUE,DE LA GRANDE FONTAINE,04210,VALENSOLE,,,04230,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.10,NAP,N
005540612,00016,00554061200016,O,,,,,,true,1,,,,,LE CYRNOS,04200,SISTERON,,,04209,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
005540646,00014,00554064600014,O,,,,,,true,1,,,,PL,MARIUS SAUVAIRE,04120,CASTELLANE,,,04039,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
005540661,00021,00554066100021,O,1900-01-01,NN,,,2008-01-04T17:54:12,true,3,,34,,BD,GASSENDI,04000,DIGNE-LES-BAINS,,,04070,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,68.20B,NAFRev2,N
005540828,00018,00554082800018,O,,,,,,true,1,,6,,PL,DE LA MAIRIE,04200,SISTERON,,,04209,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
005540836,00011,00554083600011,O,,,,,,true,1,,,,,GRAND RUE,04210,VALENSOLE,,,04230,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
005540844,00015,00554084400015,O,,,,,,true,1,,,,,,04500,QUINSON,,,04158,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
005540869,00012,00554086900012,O,,,,,,true,1,,7,,RUE,SAUNERIE,04200,SISTERON,,,04209,,,,,,,,,,,,,,,,,,,,F,,,,,38.50,NAP,N
005540885,00018,00554088500018,O,,,,,2019-09-10T03:53:48,true,1,,,,PL,CLEMENT PLANE,04700,ORAISON,,,04143,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
005540901,00013,00554090100013,O,,,,,2019-11-14T14:00:14,true,1,,,,,,04360,MOUSTIERS-SAINTE-MARIE,,,04135,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
005540968,00012,00554096800012,O,,,,,,true,1,,7,,RUE,CAPITOUL,04000,DIGNE-LES-BAINS,,,04070,,,,,,,,,,,,,,,,,,,1991-04-19,F,,,,,81.21,NAP,N
005540976,00015,00554097600015,O,,,,,,true,1,,,,BD,GASSENDI,04000,DIGNE-LES-BAINS,,,04070,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,62.43,NAP,N
005541016,00019,00554101600019,O,,NN,,,,true,1,,,,,LES FERREOLS,04000,DIGNE-LES-BAINS,,,04070,,,,,,,,,,,,,,,,,,,,F,,,,,81.21,NAP,N
005541032,00016,00554103200016,O,,,,,,true,1,,,,,,04140,AUZET,,,04017,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
005541040,00019,00554104000019,O,,,,,2019-11-14T14:00:14,true,1,,,,,,04530,LA CONDAMINE-CHATELARD,,,04062,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,,,N
005541065,00016,00554106500016,O,,,,,,true,1,,,,,,04140,SEYNE,,,04205,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
005541073,00010,00554107300010,O,,,,,2019-11-14T14:00:14,true,1,,,,RTE,NATIONALE 96,04600,CHATEAU-ARNOUX-SAINT-AUBAN,,,04049,,,,,,,,,,,,,,,,,,,,F,,,,,67.08,NAP,N
005541123,00013,00554112300013,O,,NN,,,2019-11-14T14:00:14,true,1,,,,,,04170,THORAME-HAUTE,,,04219,,,,,,,,,,,,,,,,,,,1994-07-29,F,,,,,55.1A,NAF1993,N
005541206,00016,00554120600016,O,1900-01-01,NN,,,2011-04-28T00:10:25,false,3,,,,RUE,DU MILIEU,04320,ENTREVAUX,,,04076,,,,,,,,,,,,,,,,,,,1992-11-30,F,,,,,52.1B,NAF1993,N
005541206,00024,00554120600024,O,1998-04-02,NN,,,2013-05-26T03:19:31,true,3,,,,QUA,LE RAGOT,04320,ENTREVAUX,,,04076,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,68.20B,NAFRev2,N
005541248,00018,00554124800018,O,,,,,,true,1,,,,,,04250,LE CAIRE,,,04037,,,,,,,,,,,,,,,,,,,1987-09-01,F,,,,,67.01,NAP,N
005541255,00013,00554125500013,O,,NN,,,2019-11-14T14:00:14,true,1,,,,,LE VERLAINE,04800,GREOUX-LES-BAINS,,,04094,,,,,,,,,,,,,,,,,,,,F,,,,,54.07,NAP,N
005541263,00017,00554126300017,O,,,,,,true,1,,,,,,04370,BEAUVEZER,,,04025,,,,,,,,,,,,,,,,,,,,F,,,,,62.11,NAP,N
005541305,00016,00554130500016,O,,,,,2019-11-14T14:00:14,true,1,,,,,GAUDEISSARD,04340,MEOLANS-REVEL,,,04161,,,,,,,,,,,,,,,,,,,,F,,,,,48.01,NAP,N
005541347,00018,00554134700018,O,1900-01-01,NN,,,2019-11-14T14:00:14,true,4,,,,,,04500,MONTAGNAC-MONTPEZAT,,,04124,,,,,,,,,,,,,,,,,,,1995-12-25,F,,,,,51.1T,NAF1993,N
005541347,00026,00554134700026,O,1982-09-23,NN,,,2007-01-18T09:10:23,false,3,,,,,,04500,RIEZ,,,04166,,,,,,,,,,,,,,,,,,,1994-05-04,F,,,,,01.2J,NAF1993,N
005541362,00017,00554136200017,O,,,,,,true,1,,,,,,04700,ORAISON,,,04143,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,55.60,NAP,N
005541412,00010,00554141200010,O,,,,,,true,1,,2,,,C ARCS,04000,DIGNE-LES-BAINS,,,04070,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.08,NAP,N
005541438,00023,00554143800023,O,1990-09-01,,,,2023-07-03T20:34:18,true,2,,,,RUE,DU VALLON DE FARINE,04000,DIGNE-LES-BAINS,,,04070,,,,,,,,,,,,,,,,,,,1992-12-31,F,,,,,,,
005541495,00015,00554149500015,O,,,,,,true,1,,,,,,04240,ANNOT,,,04008,,,,,,,,,,,,,,,,,,,1987-05-02,F,,,,,63.05,NAP,N
005541529,00011,00554152900011,O,,,,,2019-11-14T14:00:14,true,1,,,,,,04170,SAINT-ANDRE-LES-ALPES,,,04173,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,65.06,NAP,N
005541545,00017,00554154500017,O,,NN,,,2019-11-14T14:00:14,true,1,,,,,,04360,MOUSTIERS-SAINTE-MARIE,,,04135,,,,,,,,,,,,,,,,,,,1993-08-05,F,,,,,52.1B,NAF1993,N
005541552,00013,00554155200013,O,1974-01-01,01,2021,,2023-11-30T10:16:27,true,4,,,,,HOTEL DU VERDON,04370,BEAUVEZER,,,04025,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,55.10Z,NAFRev2,O
005541552,00021,00554155200021,O,1996-11-30,NN,,,2009-06-27T03:06:27,false,4,FROND FREDDE,,,,L'AULAPIE,04260,ALLOS,,,04006,,,,,,,,,,,,,,,,,,,2007-09-30,F,,,,,55.3B,NAFRev1,N
005541552,00039,00554155200039,O,2007-09-30,02,2021,,2023-12-20T08:53:13,false,6,,,,,PISTE DE L'AIGUILLE,04260,ALLOS,,,04006,,,,,,,,,,,,,,,,,,,2023-12-16,A,LE SYMPA SNACK,,,,56.10C,NAFRev2,O
005541560,00016,00554156000016,O,,,,,,true,1,,37,,RUE,MANUEL,04400,BARCELONNETTE,,,04019,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
005541610,00035,00554161000035,O,,,,,,true,1,,,,RUE,DES CORDELIERS,04200,SISTERON,,,04209,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,79.06,NAP,N
005541669,00015,00554166900015,O,,,,,,true,1,,,,,SAINT CHRISTOPHE,04000,DIGNE-LES-BAINS,,,04070,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,81.21,NAP,N
005541677,00018,00554167700018,O,,,,,,true,1,,20,,RUE,MANUEL,04400,BARCELONNETTE,,,04019,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,64.46,NAP,N
005541685,00011,00554168500011,O,,,,,,true,1,,15,,RUE,DE L ANCIENNE MAIRIE,04000,DIGNE-LES-BAINS,,,04070,,,,,,,,,,,,,,,,,,,1988-05-31,F,,,,,15.8C,NAF1993,N
005541701,00016,00554170100016,O,,,,,2019-11-14T14:00:14,true,1,,,,,,04530,LA CONDAMINE-CHATELARD,,,04062,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.10,NAP,N
005541735,00014,00554173500014,O,,NN,,,,true,1,,35,,BD,GASSENDI,04000,DIGNE-LES-BAINS,,,04070,,,,,,,,,,,,,,,,,,,1989-03-07,F,,,,,64.12,NAP,N
005541750,00013,00554175000013,O,,,,,,true,1,,,,,,04370,COLMARS,,,04061,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,65.02,NAP,N
005541776,00018,00554177600018,O,,,,,2019-11-14T14:00:14,true,1,,,,,,04170,SAINT-ANDRE-LES-ALPES,,,04173,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,69.11,NAP,N
005541842,00018,00554184200018,O,,,,,,true,1,,,,RUE,DE LA GRANDE FONTAINE,04000,DIGNE-LES-BAINS,,,04070,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,49.01,NAP,N
005541867,00023,00554186700023,O,1984-07-10,NN,,,2008-01-04T17:54:12,true,3,,,,QUAI,DES 4 CHEMINS,83460,LES ARCS,,,83004,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,68.20B,NAFRev2,N
005541909,00015,00554190900015,O,,,,,,true,1,,,,BD,REPUBLIQUE,04190,LES MEES,,,04116,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,81.21,NAP,N
005541982,00020,00554198200020,O,,,,,,true,1,,32,,BD,GASSENDI,04000,DIGNE-LES-BAINS,,,04070,,,,,,,,,,,,,,,,,,,1993-06-30,F,,,,,52.4C,NAF1993,N
005542113,00013,00554211300013,O,1988-03-18,NN,,,,true,3,HOTEL L'EQUIPE,,,,SAUZE,04400,ENCHASTRAYES,,,04073,,,,,,,,,,,,,,,,,,,2001-10-03,F,,,,,70.2C,NAF1993,N
005542162,00010,00554216200010,O,,,,,2019-11-14T14:00:14,true,1,,,,,,04340,MEOLANS-REVEL,,,04161,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,57.08,NAP,N
005542212,00013,00554221200013,O,1955-01-01,NN,,,,true,1,,,,QUAI,LE SAUZE,04400,ENCHASTRAYES,,,04073,,,,,,,,,,,,,,,,,,,2000-06-02,F,,,,,70.2C,NAF1993,N
005542261,00010,00554226100010,O,1955-01-01,NN,,,,true,1,,,,,COL ST JEAN,04340,SAINT VINCENT LES FORTS,,,04198,,,,,,,,,,,,,,,,,,,1998-12-19,F,,,,,55.1A,NAF1993,N
005542345,00011,00554234500011,O,,,,,,true,1,,,,RUE,DE LA MAIRIE,04190,LES MEES,,,04116,,,,,,,,,,,,,,,,,,,1987-12-31,F,,,,,38.40,NAP,N
005542394,00019,00554239400019,O,,NN,,,,true,1,,1,,PL,PIED DE VILLE,04000,DIGNE-LES-BAINS,,,04070,,,,,,,,,,,,,,,,,,,,F,,,,,67.09,NAP,N
005542410,00013,00554241000013,O,,,,,2019-08-30T03:43:46,true,1,,,,RUE,SAUNERIE,04200,SISTERON,,,04209,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
005550017,00015,00555001700015,O,,NN,,,,true,1,,,,AV,DE LA GARE,04200,SISTERON,,,04209,,,,,,,,,,,,,,,,,,,,F,,,,,59.08,NAP,N
005550025,00018,00555002500018,O,1955-01-01,NN,,,2006-12-15T00:14:43,false,3,,34,,ALL,DES FONTAINIERS,04000,DIGNE-LES-BAINS,,,04070,,,,,,,,,,,,,,,,,,,2002-01-31,F,,,,,51.1N,NAF1993,
005550025,00026,00555002500026,O,2002-10-22,NN,,,2007-07-13T18:37:04,true,3,ZI ST CHRISTOPHE,,,RUE,FERDINAND DE LESSEPS,04000,DIGNE-LES-BAINS,,,04070,,,,,,,,,,,,,,,,,,,2007-02-28,F,,,,,55.3A,NAFRev1,O
005550058,00019,00555005800019,O,1955-01-01,,,,2007-08-21T05:14:44,true,4,,,,QUA,LES BONS ENFANTS,04200,PEIPIN,,,04145,,,,,,,,,,,,,,,,,,,2006-12-29,F,,,,,45.2C,NAFRev1,N
