siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,nombrePeriodesEtablissement,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,libelleCommuneEtranger2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement,codePaysEtranger2Etablissement,libellePaysEtranger2Etablissement,dateDebut,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement
005420120,00049,00542012000049,O,1900-01-01,NN,,,2021-01-13T08:45:19,false,6,,,,RUE,DE LA GARE,62180,CONCHIL-LE-TEMPLE,,,62233,,,,,,,,,,,,,,,,,,,2020-12-21,F,,,,,46.75Z,NAFRev2,N
005420146,00010,00542014600010,O,,,,,,true,1,,,,PL,DU GENERAL LECLERC,80120,RUE,,,80688,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,64.12,NAP,N
005420153,00016,00542015300016,O,,,,,,true,1,,,,RUE,MARECHAL FOCH,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,58.12,NAP,N
005420187,00014,00542018700014,O,,,,,,true,1,,,,CHS,D HOCQUET,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,38.40,NAP,N
005420195,00033,00542019500033,O,,NN,,,,true,1,,,,,AU CHEMIN DE LA RIVIERE,80140,RAMBURES,,,80663,,,,,,,,,,,,,,,,,,,2001-07-31,F,,,,,51.2A,NAF1993,O
005420245,00010,00542024500010,O,,NN,,,,true,1,,2,,BD,VAUBAN,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1986-07-03,F,,,,,81.21,NAP,N
005420260,00019,00542026000019,O,1900-01-01,,,,,true,3,,,,RUE,JOLIOT CURIE,80570,DARGNIES,,,80235,,,,,,,,,,,,,,,,,,,1991-12-25,F,,,,,20.01,NAP,N
005420278,00011,00542027800011,O,,,,,,true,1,,,,,,80270,ALLERY,,,80019,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,44.33,NAP,N
005440011,00012,00544001100012,O,1991-09-30,NN,,,2012-04-12T03:45:09,true,4,LES MARRONNIERS,,,AV,DE VERDUN,04000,DIGNE-LES-BAINS,,,04070,,,,,,,,,,,,,,,,,,,2012-02-02,F,,,,,68.20B,NAFRev2,N
005440078,00011,00544007800011,O,,,,,,true,1,,,,,,04370,COLMARS,,,04061,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,62.11,NAP,N
005440110,00038,00544011000038,O,1900-01-01,NN,,,2019-11-14T14:00:14,false,4,,,,CRS,PECHINEY,04600,CHATEAU-ARNOUX-SAINT-AUBAN,,,04049,,,,,,,,,,,,,,,,,,,1995-12-25,F,,,,,52.4T,NAF1993,O
005440110,00053,00544011000053,O,1991-11-04,,,,2006-12-15T00:14:43,false,4,,13,,BD,GASSENDI,04000,DIGNE-LES-BAINS,,,04070,,,,,,,,,,,,,,,,,,,1996-12-25,F,,,,,70.2C,NAF1993,N
005440110,00061,00544011000061,O,1995-10-01,NN,,,2008-01-04T17:54:11,true,3,,6,,RUE,FIRMIN GUICHARD,04000,DIGNE-LES-BAINS,,,04070,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,68.20B,NAFRev2,N
005440136,00017,00544013600017,O,,,,,,true,1,,,,,,04500,QUINSON,,,04158,,,,,,,,,,,,,,,,,,,,F,,,,,67.09,NAP,N
005440185,00014,00544018500014,O,1954-01-01,NN,,,2006-11-25T09:04:27,true,3,,,,,,04250,TURRIERS,,,04222,,,,,,,,,,,,,,,,,,,2006-03-01,F,,,,,52.1B,NAFRev1,N
005440219,00011,00544021900011,O,,,,,2019-08-27T14:09:28,true,1,,,,,,04210,VALENSOLE,,,04230,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
005440235,00017,00544023500017,O,,,,,2019-11-14T14:00:14,true,1,,,,,,04170,THORAME-BASSE,,,04218,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,60.01,NAP,N
005440409,00018,00544040900018,O,,,,,,true,1,,,,RUE,CHAPUZIE,04200,SISTERON,,,04209,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,64.46,NAP,N
005440508,00017,00544050800017,O,,NN,,,2019-11-14T14:00:14,true,1,,,,RTE,NEUVE,04160,CHATEAU-ARNOUX-SAINT-AUBAN,,,04049,,,,,,,,,,,,,,,,,,,1991-12-31,F,,,,,57.08,NAP,N
005440557,00014,00544055700014,O,,,,,,true,1,,,,PL,DES RECOLLETS,04000,DIGNE-LES-BAINS,,,04070,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
005440565,00017,00544056500017,O,1954-01-01,NN,,,2023-05-05T20:26:43,true,4,,,,PL,DU GENERAL DE GAULLE,04200,SISTERON,,,04209,,,,,,,,,,,,,,,,,,,2014-12-25,F,,,,,68.20B,NAFRev2,N
005440649,00019,00544064900019,O,,NN,,,2019-11-14T14:00:14,true,1,,,,RUE,LOGIS,04800,SAINT-MARTIN-DE-BROMES,,,04189,,,,,,,,,,,,,,,,,,,1988-09-30,F,,,,,62.11,NAP,N
005440672,00011,00544067200011,O,,,,,,true,1,,,,,,04120,CASTELLANE,,,04039,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
005440698,00016,00544069800016,O,,,,,,true,1,,,,,,04370,COLMARS,,,04061,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.07,NAP,N
005440722,00014,00544072200014,O,,,,,,true,1,,,,,,04120,CASTELLANE,,,04039,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.10,NAP,N
005440755,00014,00544075500014,O,,,,,,true,1,,,,,,04190,LES MEES,,,04116,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,64.11,NAP,N
005440789,00013,00544078900013,O,,,,,2019-11-14T14:00:14,true,1,,,,,,04530,LA CONDAMINE-CHATELARD,,,04062,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.11,NAP,N
005440797,00016,00544079700016,O,,NN,,,,true,1,,,,,,04700,ORAISON,,,04143,,,,,,,,,,,,,,,,,,,,F,,,,,60.07,NAP,N
005440813,00029,00544081300029,O,,NN,,,2019-11-14T14:00:14,true,1,,,,,LE FOREST DE BAYONS,04250,LA MOTTE-DU-CAIRE,,,04134,,,,,,,,,,,,,,,,,,,1989-12-31,F,,,,,55.3A,NAF1993,N
005440847,00019,00544084700019,O,,,,,,true,1,,,,,,04140,VERDACHES,,,04235,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,69.22,NAP,N
005440904,00018,00544090400018,O,,,,,,true,1,,,,HAM,LES BAUMES,04200,MISON,,,04123,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
005440938,00016,00544093800016,O,,,,,,true,1,,,,,,04200,MISON,,,04123,,,,,,,,,,,,,,,,,,,,F,,,,,01.80,NAP,N
005440987,00013,00544098700013,O,,,,,2019-11-14T14:00:14,true,1,,,,,,04500,MONTAGNAC-MONTPEZAT,,,04124,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
005441027,00017,00544102700017,O,,,,,,true,1,,,,RUE,NEUVE,04140,SEYNE,,,04205,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
005441035,00010,00544103500010,O,,NN,,,,true,1,,18,,RUE,PIED DE VILLE,04000,DIGNE-LES-BAINS,,,04070,,,,,,,,,,,,,,,,,,,1995-06-30,F,,,,,52.1B,NAF1993,N
005441043,00014,00544104300014,O,1954-01-01,NN,,,2012-07-28T11:19:32,true,4,,5,,BD,VICTOR HUGO,04000,DIGNE-LES-BAINS,,,04070,,,,,,,,,,,,,,,,,,,2008-01-01,F,,,,,68.20B,NAFRev2,N
005441068,00011,00544106800011,O,,,,,,true,1,,,,RUE,LT BLONDEAU,04120,CASTELLANE,,,04039,,,,,,,,,,,,,,,,,,,1989-12-31,F,,,,,38.40,NAP,N
005441134,00011,00544113400011,O,,NN,,,,true,1,,42,,RUE,MANUEL,04400,BARCELONNETTE,,,04019,,,,,,,,,,,,,,,,,,,1992-11-30,F,,,,,52.1J,NAF1993,N
005441159,00018,00544115900018,O,,,,,2019-11-14T14:00:14,true,1,,,,QUAI,SAINT AUBAN,04160,CHATEAU-ARNOUX-SAINT-AUBAN,,,04049,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
