,siren,siret,adresse,postcode,city,latitude,longitude,result_label,result_score,result_score_next,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
14,5410493,541049300018,HAM+DE HAMICOURT,80210,TOURS-EN-VIMEU,50.02784,1.690728,Grande Rue Hamicourt 80210 Tours-en-Vimeu,0.46885839572192506,0.45565714285714287,street,80765_0269,,Grande Rue Hamicourt,Grande Rue Hamicourt,80210,Tours-en-Vimeu,"80, Somme, Hauts-de-France",80765,,,,ok
15,5410501,541050100018,RUE+FORT MARDI,80150,VIRONCHAUX,50.289009,1.821554,Rue du Fort Mardi 80150 Vironchaux,0.5204725358851674,,street,80808_0040,,Rue du Fort Mardi,Rue du Fort Mardi,80150,Vironchaux,"80, Somme, Hauts-de-France",80808,,,,ok
16,5410519,541051900010,10.0+RUE+PASTEUR,80550,LE CROTOY,50.216994,1.62452,Rue Pasteur 80550 Le Crotoy,0.4773820661157024,0.39846874813710875,street,80228_0800,,Rue Pasteur,Rue Pasteur,80550,Le Crotoy,"80, Somme, Hauts-de-France",80228,,,,ok
17,5410527,541052700013,84.0+RUE+PASTEUR,80100,ABBEVILLE,50.107589,1.827131,Rue Pasteur 80100 Abbeville,0.48970479338842965,,street,80001_1480,,Rue Pasteur,Rue Pasteur,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
18,5410543,541054300010,RTE+NATIONALE,80860,NOUVION,50.208402,1.783757,10 Route Nationale 80860 Nouvion,0.5300244425385935,,housenumber,80598_0421_00010,10,10 Route Nationale,Route Nationale,80860,Nouvion,"80, Somme, Hauts-de-France",80598,,,,ok
19,5410642,541064200010,1.0+RUE+DE SAINT VALERY,80220,GAMACHES,49.989749,1.561214,Rue de Saint-Valéry 80220 Gamaches,0.54183782414307,,street,80373_0920,,Rue de Saint-Valéry,Rue de Saint-Valéry,80220,Gamaches,"80, Somme, Hauts-de-France",80373,,,,ok
20,5410667,541066700017,,80132,MAREUIL-CAUBERT,50.07646,1.824671,Mareuil-Caubert,0.4387922314049586,0.41833038961038954,municipality,80512,,Mareuil-Caubert,,80132,Mareuil-Caubert,"80, Somme, Hauts-de-France",80512,,,,ok
21,5410675,541067500010,,80270,ALLERY,49.964032,1.89614,Allery,0.3111724675324675,0.2790515299334812,municipality,80019,,Allery,,80270,Allery,"80, Somme, Hauts-de-France",80019,,,,ok
22,5410717,541071700010,27.0+RUE+SAINT JEAN,80135,SAINT-RIQUIER,50.134603,1.948796,Rue Saint Jean 80135 Saint-Riquier,0.5249436950146626,0.356250868385346,street,80716_0515,,Rue Saint Jean,Rue Saint Jean,80135,Saint-Riquier,"80, Somme, Hauts-de-France",80716,,,,ok
23,5410733,541073300017,17.0+PETITE RUE NOTRE DAME,80100,ABBEVILLE,50.105173,1.828251,Petite Rue Notre - Dame 80100 Abbeville,0.5549728671328671,,street,80001_1420,,Petite Rue Notre - Dame,Petite Rue Notre - Dame,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
24,5410741,541074100010,AV+DE LA GARE,80120,QUEND,50.319601,1.643634,10 Rue de la Gare 80120 Quend,0.46457951048951046,0.39998,housenumber,80649_0840_00010,10,10 Rue de la Gare,Rue de la Gare,80120,Quend,"80, Somme, Hauts-de-France",80649,,,,ok
25,5410758,541075800014,CHS+MARCADE,80100,ABBEVILLE,50.111441,1.82887,Chaussée Marcadé 80100 Abbeville,0.44708148325358843,,street,80001_1240,,Chaussée Marcadé,Chaussée Marcadé,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
26,5410816,541081600010,3.0+RUE+DE L ARQUET,80370,HIERMONT,50.195387,2.077733,Rue de l'Arquet 80370 Hiermont,0.4892962998405103,,street,80440_0002,,Rue de l'Arquet,Rue de l'Arquet,80370,Hiermont,"80, Somme, Hauts-de-France",80440,,,,ok
