restaurant_id,name,cuisine,borough,address,score,lng,lat
50014250,Mom'S Pizza,Pizza,Manhattan,15 Avenue D 10009,20.0,-73.9785507,40.7205609
50014251,Mr.Roti Llc,Café/Coffee/Tea,Manhattan,1196 Ave Americas 10036,32.0,-73.9816929,40.7578596
50014266,Nyu - Torch Club,American ,Manhattan,18 Waverly Place 10003,11.0,-73.994756,40.730087
50014272,Cafe 55,Other,Manhattan,55 Water Street 10004,11.0,-74.0098074,40.703465
50014277,Dunkin Donuts / Baskin Robbins,Donuts,Queens,144-01 Liberty Avenue 11435,2.0,-73.80898049999999,40.6928548
50014284,Hilton Garden Inn New York/Times Square Central,American ,Manhattan,136 West   42 Street 10036,2.0,-73.9856458,40.7553229
50014288,Birds & Bubbles,American ,Manhattan,100B Forsyth St 10002,12.0,-73.9927373,40.7183102
50014289,Betty Brooklyn Catering Co.,American ,Brooklyn,455 Utica Avenue 11203,2.0,-73.93124449999999,40.6623228
50014290,Villa Italian Kitchen,Italian,Queens,NKA Laguardia Airport 11371,4.0,-73.87425,40.7766392
50014291,Just Salad,Salads,Brooklyn,210 State Street 11201,5.0,-73.9917729,40.69014019999999
50014293,Texano Tex Mex Grill,Mexican,Brooklyn,387A Flatbush Avenue 11238,8.0,-73.9714595,40.6760883
50014302,Liberty Kennedy Fried Chicken & Pizza,American ,Queens,111-01 Liberty Avenue 11419,18.0,-73.8310765,40.6849728
50014308,Aaa Burrito Mariachi,Mexican,Manhattan,189 Church Street 10007,5.0,-74.0069565,40.7157795
50014309,La Torre Restaurant & Bar,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Bronx,610 East  183 Street 10458,12.0,-73.8887506,40.8529622
50014314,Empanadas El Gustazo Restaurante,Spanish,Manhattan,4219 College Point Blvd 11355,19.0,-73.83296109999999,40.754348
50014316,Ralph Lauren,Café/Coffee/Tea,Manhattan,711 5 Avenue 10022,2.0,-73.974536,40.7617836
50014318,Voga Lounge & Grill,Spanish,Manhattan,300 Audubon Avenue 10033,9.0,-73.9328223,40.8482229
50014322,Chipotle Mexican Grill,Mexican,Brooklyn,463 86 Street 11209,4.0,-74.02661300000001,40.622046
50014329,Caffee Dei Fiori Ristorante,Italian,Manhattan,973 Lexington Ave 10021,10.0,-73.962699,40.769339
50014330,Delly'S Place Restaurant & Fritaille,Creole,Queens,211-47 Jamaica Avenue 11428,26.0,-73.7477962,40.715704
50014331,Luen Hop Chinese Kitchen,Chinese,Queens,118-33 Guy R Brewer Boulevard 11434,13.0,-73.7819447,40.6828333
50014333,Foodbella,American ,Manhattan,3 East   53 Street 10022,10.0,-73.975073,40.760345
50014338,Harmony Cafe,Café/Coffee/Tea,Bronx,250 Bedford Park Blvd West 10468,7.0,-73.8931763,40.8748896
50014339,Carmen Cafe ( Carmen Hall),Café/Coffee/Tea,Bronx,250 Bedford Park Blvd West 10468,9.0,-73.8931763,40.8748896
50014342,The Underground Cafeteria,American ,Bronx,250 Bedford Park Blvd West 10468,9.0,-73.8931763,40.8748896
50014351,Trelawni Place,American ,Brooklyn,1440 Utica Avenue 11203,25.0,-73.92952489999999,40.63687729999999
50014354,Ratata Deli Food Corp,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Bronx,1569 Bronxdale Avenue 10462,12.0,-73.8558999,40.8430375
50014360,Taqueria Jimmy Express,Mexican,Brooklyn,276 Knickerbocker Avenue 11237,16.0,-73.924409,40.701959
50014362,Urubamba,Peruvian,Queens,86-20 37 Avenue 11372,26.0,-73.87983369999999,40.7502116
50014366,The Bar/Four Seasons Hotel,American ,Manhattan,57 East   57 Street 10022,7.0,-73.97160629999999,40.7621879
50014368,Mi Dulce Pasteleria,Bakery,Bronx,1365A Sheridan Ave 10456,4.0,-73.91345199999999,40.83785
50014369,The Upsider Nyc,American ,Manhattan,1004 2Nd Ave 10022,9.0,-73.966775,40.756784
50014372,Oriental Palace,Chinese,Brooklyn,3018 Mermaid Avenue 11224,11.0,-73.99692399999999,40.574991
50014374,La Casa Del Salmon,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Bronx,1862 Webster Avenue 10457,8.0,-73.9012825,40.84695740000001
50014375,Wing Hing Seafood Restaurant,Chinese,Brooklyn,1217 Avenue U 11229,7.0,-73.95963069999999,40.5987028
50014381,Krown Grill Halal Chicken,Chicken,Brooklyn,357 Nostrand Avenue 11216,15.0,-73.950519,40.6859378
50014383,Scratchbread,Café/Coffee/Tea,Brooklyn,1069 Bedford Avenue 11216,17.0,-73.9544806,40.6874469
50014384,Fm Desserts,"Ice Cream, Gelato, Yogurt, Ices",Queens,140-08 Holly Avenue 11355,22.0,-73.818818,40.75079830000001
50014385,Paprika,Italian,Manhattan,110 Saint Marks Pl 10009,37.0,-73.984343,40.726931
50014387,Bay House Bistro,Asian,Staten Island,574 Bay Street 10304,3.0,-74.0766016,40.6278912
50014389,Gino'S Pizzeria,Pizza,Queens,43-19 Broadway 11103,14.0,-73.915774,40.757699
50014390,Cinco De Mayo,Tex-Mex,Queens,42-29 Bell Boulevard 11361,5.0,-73.7698806,40.7619143
50014391,Teaus,Café/Coffee/Tea,Manhattan,59 West   30 Street 10001,6.0,-73.98932289999999,40.7471592
50014392,New 86 Wong Restaurant,Chinese,Brooklyn,2210 86 Street 11214,9.0,-73.993661,40.6015315
50014394,Luigi'S Pizza & Pasta Corp,Pizza/Italian,Bronx,808 Burke Avenue 10467,2.0,-73.8630166,40.8713484
50014395,Wild Ginger,Vegetarian,Brooklyn,212 Bedford Avenue 11249,12.0,-73.9588593,40.7169821
50014402,Fresh Dumpling,Chinese,Queens,133-35 Roosevelt Avenue 11354,0.0,-73.8330519,40.7587756
50014405,Piqueteadero La Bella,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Staten Island,3 Corson Avenue 10301,35.0,-74.0790329,40.6384078
50014406,Mcdonald'S,American ,Brooklyn,357 Hamilton Avenue 11231,11.0,-73.9991524,40.67353079999999
50014408,Mcdonald'S,American ,Brooklyn,7124 3 Avenue 11209,10.0,-74.0271446,40.6337607
50014413,Crown Fried,American ,Manhattan,362 East  112 Street 10029,10.0,-73.9377622,40.7934501
50014414,Burger Heaven,American ,Manhattan,20 East 49 Street 10017,5.0,-73.976659,40.757239
50014417,Shu Han Ju Authentic Chinese Cuisine,Chinese,Manhattan,465 6 Avenue 10011,11.0,-92.730603,41.7461733
50014419,Rocka Rolla,American ,Brooklyn,486 Metropolitan Avenue 11211,9.0,-73.95275889999999,40.71405439999999
50014422,Cafe 11231,Other,Brooklyn,371 Court Street 11231,22.0,-73.99663919999999,40.6807871
50014424,El Coyote,Mexican,Queens,7009 Austin St 11375,10.0,-73.8466183,40.721023
50014435,Sky Taste,Chinese,Queens,45-53 46 Street 11377,12.0,-73.9188211,40.7414475
50014438,Appley-Vous,"Juice, Smoothies, Fruit Salads",Bronx,651 Allerton Avenue 10467,2.0,-73.86892449999999,40.8655815
50014446,Mr. Q'S Chinese & Japanese Bar Restaurant,Chinese/Japanese,Bronx,2115 Williamsbridge Road 10461,12.0,-73.8558213,40.8557802
50014447,New Island,Chinese,Staten Island,27 Seguine Avenue 10309,8.0,-74.20058519999999,40.5257248
50014448,Yo Hielo,"Ice Cream, Gelato, Yogurt, Ices",Queens,136-27A Roosevelt Avenue 11354,27.0,-73.8290288,40.7598529
50014452,Teriyaki Japan,Japanese,Brooklyn,6814 4 Avenue 11220,11.0,-74.02361189999999,40.6350572
50014456,Brownstone Bar & Restaurant,American ,Brooklyn,277 Gold Street 11201,28.0,-73.9828618,40.6962502
50014459,Rancho Mofongo,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Queens,106-16 Northern Boulevard 11368,12.0,-73.8621919,40.757509
50014461,Yummy Chinese Restaurant,Chinese,Brooklyn,1195 Flatbush Avenue 11226,18.0,-73.955874,40.6410423
50014462,Taste Of Italy,Spanish,Queens,40-05A Junction Bouleavrd 11368,12.0,-73.869003,40.748988
50014465,Miyabi Sushi & Asian Cuisine,Other,Manhattan,118 West    3 Street 10012,31.0,-74.00045899999999,40.73035
50014467,Nyu Peet'S Coffee,Café/Coffee/Tea,Manhattan,60 Washington Square South 10012,0.0,-73.9978275,40.72993659999999
50014469,Emerald Fortune,Chinese,Brooklyn,318 Kings Highway 11223,15.0,-73.9785522,40.6047805
50014470,Nyu Sidestein Market,American ,Manhattan,511 University Place 10003,2.0,-73.9935848,40.7330038
50014471,Mr. Good Juice Bar Inc,"Juice, Smoothies, Fruit Salads",Manhattan,1646 Madison Avenue 10029,5.0,-73.94806799999999,40.796082
50014473,Central Caribbean Bakery,Bakery,Bronx,1322 East Gun Hill Road 10469,5.0,-73.847673,40.87097
50014478,Lenwich,Sandwiches/Salads/Mixed Buffet,Manhattan,202 West   40 Street 10018,8.0,-73.988607,40.7548606
50014481,Maman,French,Manhattan,239 Centre Street 10013,12.0,-73.9984039,40.7202849
50014482,Sushi Shop,Japanese,Manhattan,31 West   52 Street 10019,7.0,-73.9780115,40.7609062
50014483,Martiniello'S Pizzaria,Pizza,Queens,675 Onderdonk Avenue 11385,8.0,-73.90730359999999,40.7041648
50014486,Japonica Restaurant,Japanese,Manhattan,90 University Pl 10003,12.0,-73.99319899999999,40.7337952
50014492,Ceylon Curry,Asian,Staten Island,324 Victory Boulevard 10301,6.0,-74.085414,40.634048
50014494,Blue Parrot Bar,American ,Brooklyn,3219 Fulton Street 11208,29.0,-73.8762481,40.6826768
50014495,El Club Valle Restaurant Caffee,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Bronx,1298 Westchester Ave 10459,23.0,-73.8863653,40.8274966
50014496,Fourth Street Central,Café/Coffee/Tea,Manhattan,63 East    4 Street 10003,9.0,-73.990697,40.7269016
50014500,Crown Fried Chicken,American ,Brooklyn,332 Central Avenue 11221,9.0,-73.92051099999999,40.69516
50014505,Oro Restaurant Bachata Lounge,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Queens,79-17 Atlantic Avenue 11421,12.0,-73.8607285,40.6850592
